Record Number,Installation Address,County,Latitude,Longitude,Street,City,State,ZIP,System Type,Sector,System Installer,System Manufacturer,Installation Completion Date,System Capacity (kW),Annual Production (kWh),Electric Utility Territory,Natural Gas Utility,Project Name,Project Information,Owner of T&D System,Federal Congressional District,State Senate District,State House District,Date Added,Date Modified,Comments,AC/DC
M101,"1519 North Highland Avenue, Atlanta GA 30306",Fulton,33.795923,-84.350467,1519 North Highland Avenue,Atlanta,Georgia,30306,Solar Hot Water,Residential,Suncatcher of Atlanta,AET - Alternate Energy Technologies,3/7/2011,,,Georgia Power Company,Unknown,,,,5,36,57,8/30/2012,8/30/2012,,
M102,"29 Sapphire Island Road, Savannah GA 31410",Chatham,32.019713,-80.960411,29 Sapphire Island Road,Savannah,Georgia,31410,Solar Hot Water,Residential,SolarTEK Energy,Heliocol,3/18/2011,,,Georgia Power Company,Unknown,,,,1,1,166,8/30/2012,8/30/2012,,
M103,"3835 Creekview Drive, Marietta GA 30068",Cobb,33.957692,-84.440602,3835 Creekview Drive,Marietta,Georgia,30068,Solar Hot Water,Residential,Suncatcher of Atlanta,Unknown,3/23/2011,,,Georgia Power Company,Unknown,,,,6,32,43,8/30/2012,8/30/2012,,
M104,"9858 Akins Pond Road, Statesboro GA 30461",Bulloch,32.57962,-81.84574,9858 Akins Pond Road,Statesboro,Georgia,30461,Solar Hot Water,Residential,Coastal Handyman Services,Sungrabber,3/25/2011,,,Excelsior EMC,Unknown,,,,12,4,159,8/30/2012,8/30/2012,,
M105,"315 Old Sandhurst Station, Alpharetta GA 30322",Fulton,34.015261,-84.269513,315 Old Sandhurst Station,Alpharetta,Georgia,30322,Solar Hot Water,Residential,Suncatcher of Atlanta,Unknown,4/4/2011,,,Georgia Power Company,Unknown,,,,6,56,51,8/30/2012,8/30/2012,,
M106,"3 Moonrise Creek, Savannah GA 31406",Chatham,31.958566,-81.047116,3 Moonrise Creek,Savannah,Georgia,31406,Solar Hot Water,Residential,SolarTEK Energy,Solene,4/29/2011,,,Georgia Power Company,Unknown,,,,1,1,166,8/30/2012,8/30/2012,,
M108,"1178 Hall Station Road, Adairsville GA 30103",Bartow,34.329409,-84.936121,1178 Hall Station Road,Adairsville,Georgia,30103,Solar Hot Water,Residential,Suncatcher of Atlanta,Aquatherm,5/6/2011,,,Georgia Power Company,Unknown,,,,11,14,14,8/30/2012,8/30/2012,,
M109,"57 Overland Trail, Mineral Bluff GA 30559",Fannin,34.946957,-84.281265,57 Overland Trail,Mineral Bluff,Georgia,30559,Solar Hot Water,Residential,Solar Options LLC,AET - Alternate Energy Technologies,5/9/2011,,,Blue Ridge Mountain EMC,Unknown,,,,9,51,7,8/30/2012,8/30/2012,,
M110,"1415 Miller Avenue, Tybee Island GA 31328",Chatham,31.995778,-80.851137,1415 Miller Avenue,Tybee Island,Georgia,31328,Solar Hot Water,Residential,Suncatcher of Atlanta,AET - Alternate Energy Technologies,5/10/2011,,,Georgia Power Company,Unknown,,,,1,1,166,8/30/2012,8/30/2012,,
M111,"603 15th Street, Tybee Island GA 31328",Chatham,31.994933,-80.852539,603 15th Street,Tybee Island,Georgia,31328,Solar Hot Water,Residential,SolarTEK Energy,Heliocol,5/11/2011,,,Georgia Power Company,Unknown,,,,1,1,166,8/30/2012,8/30/2012,,
M112,"105 Holleyberry Court, Covington GA 30016",Newton,33.53891,-84.026101,105 Holleyberry Court,Covington,Georgia,30016,Solar Hot Water,Residential,Energy Conservation Solutions,Power Partners Solar,5/18/2011,,,Snapping Shoals EMC,Unknown,,,,4,17,109,8/30/2012,8/30/2012,,
