City,County
Atlanta,Fulton
Savannah,Chatham
Marietta,Cobb
Statesboro,Bulloch
Alpharetta,Fulton
Adairsville,Bartow
Mineral Bluff,Fannin
Tybee Island,Chatham
Covington,Newton
Powder Springs,Cobb
Hinesville,Bulloch
Cumming,Forsyth
Winder,Barrow
Mitchel,Warren
Watkinsville,Greene
Rome,Floyd
Athens,Clarke
Norcross,Gwinnett
Toccoa,Stephens
Kennesaw,Cobb
Atlanta,DeKalb
Hartwell,Hart
Harlem,Columbia
Sharpsburg,Coweta
Kingsland,Camden
Brooks,Fayette
Warner Robins,Houston
Dearing,McDuffie
Cedartown,Polk
Madison,Morgan
Dawsonville,Dawson
Toccoa,Rabun
Morrow,Clayton
Martinez,Columbia
Decatur,DeKalb
Milton,Fulton
Canton,Cherokee
Gainesville,Hall
Statham,Jackson
Brunswick,Glynn
Hull,Madison
Jonesboro,Clayton
McDonough,Henry
Lawrenceville,Gwinnett
Peachtree City,Fayette
Douglasville,Douglas
Social Circle,Newton
Richmond Hill,Bryan
Stockbridge,Henry
Hiram,Paulding
Douglasville,Paulding
Snellville,Gwinnett
Loganville,Gwinnett
Dallas,Paulding
Hoboken,Brantley
White Oak,Camden
Ludowici,Long
Saint Simons Island,Glynn
Dacula,Gwinnett
Lula,Banks
Buford,Gwinnett
Fayetteville,Fayette
Watkinsville,Oconee
Roswell,Fulton
Saint Marys,Camden
Duluth,Gwinnett
Smyrna,Cobb
Summerville,Chattooga
Locust Grove,Henry
White,Bartow
Carlton,Oglethorpe
Mansfield,Newton
Augusta,Richmond
Danielsville,Wilkinson
Mabelton,Cobb
Baldwin,Habersham
Adel,Cook
Winterville,Clarke
Waycross,Ware
Bloomingdale,Effingham
Canon,Hart
Monroe,Walton
Danielsville,Madison
Dawsonville,Forsyth
Cartersville,Bartow
Dublin,Laurens
Nashville,Berrien
Conyers,Rockdale
Valdosta,Lowndes
Guyton,Effingham
White Plains,Greene
Cochran,Dodge
St. Mary's,Camden
Acworth,Cobb
Grovetown,Columbia
Appling,Columbia
Lilburn,Gwinnett
Powder Springs,Paulding
Evans,Columbia
Newnan,Coweta
Cleveland,White
Alma,Pierce
Hampton,Henry
Mansfield,Jasper
Blue Ridge,Fannin
Bogart,Oconee
Lithonia,DeKalb
Duluth,Fulton
Woodstock,Cherokee
Hamilton,Harris
Commerce,Banks
Metter,Candler
Augusta,Columbia
Nicholson,Jackson
Pooler,Chatham
Blackshear,Pierce
Bluffton,Clay
Lincolnton,Lincoln
Jasper,Pickens
Alto,Banks
