county,fips,state,county-seat,pop-tot,dem-fem,dem-male,dem-white,dem-baa,dem-aian,dem-a,dem-nhpi,dem-two,dem-hl,dem-vet,dem-hh,med-income ,owner-occ,dsire-url,dsire-text,med-zhvi,med-zhri,utility,avg-pct-suitable
Appling,13001,GA,Baxley,18428,9232,9196,12807,3575,111,166,37,221,1769,1053,8381,37135,71.1,,,,,Georgia Power Company;Satilla REMC,86.44
Atkinson,13003,GA,Peason,8273,4128,4145,4649,1448,116,74,91,174,2085,385,3429,30933,72,,,,,Georgia Power Company;Satilla REMC;Slash Pine EMC,88.15
Bacon,13005,GA,Alma,11372,5766,5606,8313,1888,34,68,23,182,989,559,4715,37162,68.6,,,,,Georgia Power Company;Satilla REMC,88.32
Baker,13007,GA,Newton,3150,1619,1531,1481,1446,13,35,3,35,176,178,1620,44297,73.6,,,,,Georgia Power Company;Mitchell EMC;Okefenoke REMC;Three Notch EMC,88.17
Baldwin,13009,GA,Milldgeville,45144,22301,22843,23746,19141,135,813,45,542,993,2911,20277,32460,53.8,,,66.08,0.62,Georgia Power Company;Oconee EMC;Tri-County EMC;Washington EMC,76.29
Banks,13011,GA,Homer,18397,9015,9382,16153,534,92,239,37,276,1233,1321,7527,41427,75.5,,,89.58,0.7,Georgia Power Company;Jackson EMC,84.07
Barrow,13013,GA,Winder,77126,39257,37869,56071,9101,386,2854,77,1697,7944,4697,27602,52012,72.8,,,93.5,0.73,Georgia Power Company;Jackson EMC;Walton EMC,84.86
Bartow,13015,GA,Cartersville,103807,52630,51177,81073,11523,623,934,104,2076,8824,6928,40196,48893,64.3,,,93.5,0.71,Amicalola EMC;Cartersville (City);Cobb EMC;Georgia Power Company;GreyStone Power,83.02
Ben Hill,13017,GA,Fitzgerald,17243,8984,8259,9742,6139,121,155,17,224,1052,912,6413,29994,61,,,,0.6,Fitzgerald (City);Georgia Power Company;Irwin EMC;Satilla REMC,86.9
Berrien,13019,GA,Nashville,18993,9610,9383,16467,2013,76,209,19,228,969,1372,6958,31835,71.2,,,,0.61,Colquitt EMC;Georgia Power Company;Irwin EMC;Slash Pine EMC,88.18
Bibb,13021,GA,Macon,152760,80963,71797,62784,84018,458,3055,153,2291,4888,10456,57111,36519,52.4,,,52.75,0.6,Central Georgia EMC;Flint Energies;Georgia Power Company;Southern Rivers Energy;Oconee EMC;Tri-County EMC,56.39
Bleckley,13023,GA,Cochran,12970,6757,6213,9157,3476,26,156,0,156,363,803,4113,38991,72.8,,,,,Georgia Power Company;Ocmulgee EMC;Oconee EMC,86.8
Brantley,13025,GA,Nahunta,18355,9288,9067,16960,606,73,55,0,312,385,1225,6581,37206,79.9,,,,,Georgia Power Company;Okefenoke REMC;Satilla REMC,87.28
Brooks,13027,GA,Quitman,15687,7985,7702,8926,5522,63,141,31,235,926,1607,6577,32663,69.2,,,,0.61,Colquitt EMC;Georgia Power Company;Grady EMC;Quitman (City),87.41
Bryan,13029,GA,Pembroke,36230,18369,17861,26774,5290,181,725,72,1196,2572,3525,11441,63327,68.3,,,110.42,0.81,Canoochee EMC;Coastal Electric Cooperative;Excelsior EMC;Georgia Power Company,86.29
Bulloch,13031,GA,Statesboro,74722,37959,36763,47673,22118,299,1196,75,1270,2765,4096,26128,36032,49.6,,,73.92,0.6,Canoochee EMC;Excelsior EMC;Georgia Power Company;Planters EMC,87.72
Burke,13033,GA,Waynesboro,22688,11820,10868,10754,10845,91,113,23,340,703,1497,8102,33641,70.6,,,48.42,,Georgia Power Company;Jefferson Energy;Planters EMC,87.53
Butts,13035,GA,Jackson,23817,11146,12671,15934,6716,71,143,0,333,762,1511,7774,41667,71.7,,,71,0.7,Central Georgia EMC;Georgia Power Company;Jackson (City);Snapping Shoals EMC,83.28
Calhoun,13037,GA,Morgan,6324,2504,3820,2043,3896,38,51,19,89,297,325,1836,25513,65.5,,,34.92,,Diverse Power-Pataula District Georgia Power Company;Mitchell EMC,88.85
Camden,13039,GA,Woodbine,53008,25497,27511,37159,10231,371,742,106,1590,3446,7416,18638,52473,61.1,,,93.67,0.71,Georgia Power Company;Okefenoke REMC,86.52
Candler,13043,GA,Metter,10910,5564,5346,6786,2706,33,120,22,142,1233,872,3909,30185,60.6,,,,,Excelsior EMC;Georgia Power Company,83.97
Carroll,13045,GA,Carrollton,116261,59409,56852,82662,22322,698,1163,116,2558,8022,6948,40074,43586,62.8,,,82.25,0.65,Carroll EMC;Georgia Power Company;GreyStone Power,83.6
Catoosa,13047,GA,Ringgold,66398,34195,32203,60422,1859,266,930,66,1129,1926,4519,23943,50876,75,,,92,0.77,Georgia Power Company;North Georgia EMC,83.9
Charlton,13049,GA,Folkston,12497,5149,7348,7823,3899,87,87,0,225,462,984,3524,42778,78.8,,,,,Georgia Power Company;Okefenoke REMC;Slash Pine EMC,88.97
Chatham,13051,GA,Savannah,289082,149744,139338,141650,117078,867,8383,289,6360,18212,24548,104912,47218,54.6,,,95.33,0.85,Georgia Power Company;Canoochee EMC,84.5
Chattahoochee,13053,GA,Cusseta,10922,3440,7482,6488,2206,164,328,87,393,1573,785,2599,43378,27.4,,,,0.68,Amicalola EMC;Flint Energies;Georgia Power Company;Sumter EMC,82.1
Chattooga,13055,GA,Summerville,24824,12164,12660,20554,2482,99,149,74,472,1241,1491,9364,32913,66.3,,,,,Georgia Power Company;North Georgia EMC,81.53
Cherokee,13057,GA,Canton,241689,122536,119153,192868,16435,1208,4592,242,5075,24169,14603,79133,68926,77.4,,,117.17,0.81,Amicalola EMC;Cobb EMC;Georgia Power Company;Sawnee EMC;Tri-State REMC,82.42
